"count","truePos","falseNeg","falsePos","F1val","Sens","Prec","Miss","FPper","F05v","beta","ModelName","SpeciesCode","Threshold","F075v","type","gvOpt"
111,29,32,0,0.644444444444444,0.475409836065574,1,0.524590163934426,0,0.819209039548022,0.5,"ResNet101v2","RWBL",0.91,0.715695952615992,"ROI","F0.5 optimized"
117,24,49,3,0.48,0.328767123287671,0.888888888888889,0.671232876712329,0.111111111111111,0.662983425414365,0.5,"ResNet101v2","SAVS",0.96,0.550964187327824,"ROI","F0.5 optimized"
94,21,23,0,0.646153846153846,0.477272727272727,1,0.522727272727273,0,0.8203125,0.5,"ResNet101v2","SOSP",0.7,0.717213114754098,"ROI","F0.5 optimized"
106,18,38,0,0.486486486486487,0.321428571428571,1,0.678571428571429,0,0.703125,0.5,"MobileNetv2","SPTO",0.65,0.568181818181818,"ROI","F0.5 optimized"
122,34,38,0,0.641509433962264,0.472222222222222,1,0.527777777777778,0,0.817307692307692,0.5,"MobileNetv2","STJA",0.9,0.713087248322148,"ROI","F0.5 optimized"
90,16,29,0,0.524590163934426,0.355555555555556,1,0.644444444444444,0,0.73394495412844,0.5,"MobileNetv2","SWTH",0.79,0.605143721633888,"ROI","Mean F0.5 from MobileNet"
106,31,25,1,0.704545454545455,0.553571428571429,0.96875,0.446428571428571,0.03125,0.842391304347826,0.5,"ResNet50v2","WAVI",0.65,0.762795275590551,"ROI","F0.5 optimized"
98,11,37,0,0.372881355932203,0.229166666666667,1,0.770833333333333,0,0.597826086956522,0.5,"MobileNetv2","WBNU",0.88,0.452302631578947,"ROI","F0.5 optimized"
95,26,21,0,0.712328767123288,0.553191489361702,1,0.446808510638298,0,0.860927152317881,0.5,"ResNet101v2","WCSP",0.68,0.774731823599523,"ROI","F0.5 optimized"
101,24,30,0,0.615384615384615,0.444444444444444,1,0.555555555555556,0,0.8,0.5,"ResNet101v2","WEME",0.8,0.689655172413793,"ROI","F0.5 optimized"
102,17,37,0,0.47887323943662,0.314814814814815,1,0.685185185185185,0,0.69672131147541,0.5,"ResNet50v2","WETA",0.96,0.560686015831135,"ROI","F0.5 optimized"
107,12,45,0,0.347826086956522,0.210526315789474,1,0.789473684210526,0,0.571428571428571,0.5,"MobileNetv2","WITU",0.93,0.425531914893617,"ROI","F0.5 optimized"
104,14,40,0,0.411764705882353,0.259259259259259,1,0.740740740740741,0,0.636363636363636,0.5,"ResNet101v2","WIWA",0.65,0.492957746478873,"ROI","F0.5 optimized"
105,20,35,0,0.533333333333333,0.363636363636364,1,0.636363636363636,0,0.740740740740741,0.5,"MobileNetv2","WREN",0.82,0.613496932515337,"ROI","F0.5 optimized"
1618,661,364,88,0.745208568207441,0.644878048780488,0.882510013351135,0.355121951219512,0.117489986648865,0.821934842079085,0.5,"MobileNetv2","ACWO",0.71,0.779150360695931,"Soundscape","F0.5 optimized"
597,331,244,22,0.713362068965517,0.575652173913043,0.937677053824363,0.424347826086957,0.0623229461756374,0.832913940613991,0.5,"ResNet50v2","AMCR",0.65,0.764575441190058,"Soundscape","F0.5 optimized"
1707,1057,575,75,0.764833574529667,0.647671568627451,0.933745583038869,0.352328431372549,0.0662544169611307,0.857954545454545,0.5,"ResNet101v2","AMRO",0.65,0.805640243902439,"Soundscape","F0.5 optimized"
1817,930,679,208,0.677102293410994,0.57799875699192,0.817223198594025,0.42200124300808,0.182776801405975,0.754747605908132,0.5,"ResNet50v2","BEWR",0.65,0.711248432194316,"Soundscape","F0.5 optimized"
572,170,30,96,0.729613733905579,0.85,0.639097744360902,0.15,0.360902255639098,0.67246835443038,0.5,"MobileNetv2","BGGN",0.99,0.701783355350066,"Soundscape","F0.5 optimized"
882,327,447,108,0.540942928039702,0.422480620155039,0.751724137931034,0.577519379844961,0.248275862068966,0.65035799522673,0.5,"ResNet101v2","BHGR",0.65,0.587031451960362,"Soundscape","F0.5 optimized"
98,63,32,3,0.782608695652174,0.663157894736842,0.954545454545455,0.336842105263158,0.0454545454545455,0.877437325905292,0.5,"MobileNetv2","BTYW",0.65,0.824175824175824,"Soundscape","F0.5 optimized"
1862,1151,258,453,0.764022568868238,0.816891412349184,0.717581047381546,0.183108587650816,0.282418952618454,0.735463258785942,0.5,"ResNet50v2","CALT",0.65,0.750423784065719,"Soundscape","F0.5 optimized"
397,95,90,23,0.627062706270627,0.513513513513513,0.805084745762712,0.486486486486487,0.194915254237288,0.722983257229832,0.5,"ResNet50v2","CAQU",0.98,0.668449197860962,"Soundscape","F0.5 optimized"
331,174,156,1,0.689108910891089,0.527272727272727,0.994285714285714,0.472727272727273,0.00571428571428571,0.844660194174757,0.5,"ResNet50v2","CASJ",0.65,0.753899480069324,"Soundscape","F0.5 optimized"
988,552,268,93,0.75358361774744,0.673170731707317,0.855813953488372,0.326829268292683,0.144186046511628,0.811764705882353,0.5,"MobileNetv2","CAVI",0.66,0.779661016949153,"Soundscape","F0.5 optimized"
1425,361,661,167,0.465806451612903,0.353228962818004,0.683712121212121,0.646771037181996,0.316287878787879,0.575941289087428,0.5,"ResNet101v2","CBCH",0.67,0.511447353507877,"Soundscape","F0.5 optimized"
604,256,173,16,0.730385164051355,0.596736596736597,0.941176470588235,0.403263403263403,0.0588235294117647,0.843770599868161,0.5,"ResNet101v2","CORA",0.69,0.779252404724218,"Soundscape","F0.5 optimized"
152,134,18,0,0.937062937062937,0.881578947368421,1,0.118421052631579,0,0.973837209302326,0.5,"MobileNetv2","COYE",0.65,0.953872437357631,"Soundscape","F0.5 optimized"
1104,781,302,21,0.828647214854111,0.721144967682364,0.973815461346633,0.278855032317636,0.0261845386533666,0.910044278722908,0.5,"MobileNetv2","DEJU",0.65,0.864741574028965,"Soundscape","F0.5 optimized"
273,180,25,63,0.803571428571428,0.878048780487805,0.740740740740741,0.121951219512195,0.259259259259259,0.764655904842821,0.5,"MobileNetv2","EUCD",0.68,0.784929356357928,"Soundscape","F0.5 optimized"
