"PredictionId","SamplingEvent","Second","GVsecond","SpeciesCode","GVspeciesCode","PredictionScore","match","matchDelta","hurdle","ModelName","Anthropophony","Biophony","Geophony","Interference","Quiet"
0,"s2lam001_180526_2018-05-28_09-30",0,20,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
80353376,"s2lam001_180526_2018-05-28_09-30",22,20,"OCWA","ACWO",7855052,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,0,0
80353377,"s2lam001_180526_2018-05-28_09-30",23,20,"OCWA","ACWO",9991440,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-30",0,21,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
80353376,"s2lam001_180526_2018-05-28_09-30",22,21,"OCWA","ACWO",7855052,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,0,0
80353377,"s2lam001_180526_2018-05-28_09-30",23,21,"OCWA","ACWO",9991440,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,0,0
80353378,"s2lam001_180526_2018-05-28_09-30",24,21,"OCWA","ACWO",9742202,"FALSEPOS",9,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-30",0,28,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-30",0,29,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-30",0,30,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
0,"s2lam001_180526_2018-05-28_09-30",0,32,"0","ACWO",1e+07,"FALSENEG",8,0.71,"MobileNetv2",0,1,0,0,0
80353380,"s2lam001_180526_2018-05-28_09-30",34,32,"OCWA","ACWO",8313428,"FALSEPOS",9,0.71,"MobileNetv2",0,1,1,0,0
